power_supply:10,water_supply:8,restrictions:5,living_conditions:6,facilities:8,neighbours:5,locality:7
Erratic: -1,None: 1,Water fussy: -0.5,Pests: -1,,Indifferent: 1,
Excessive Power-cuts: -1,Shared Motor: -0.5,Money fussy: -0.5,None: 1,,Friendly:1,
No power cuts: 1,Shared Tanki: -0.5,,Poor ventilation: -0.5,,Noisy:-1,
Power backup available: 1,Lack of 24x7 water supply: -1,,No western toilet: -0.5,,Creepy:-0.5,
Regular: 1,Dependent on municipal supply/tank: -0.5,,No Lifts: -0.5,,Intrusive:-0.5,
Seasonal: -0.5,Bad quality of water: -1,,No Balcony: -0.5,,No links:0,
Society has power backup: 1,,,Drainage: -1,,none:0,
,,,Termites: -1,,,
,,,Bad ventilation: -0.5,,,
,,,Bad maintenance: -0.5,,,
,,,No sunlight: -0.5,,,
,,,Bad food in case of PGs: -0.5,,,
,,,Bad condition of staircase: -0.5,,,
,,,Leakage: -0.5,,,
,,,Flush not working: -1,,,